0.8289 2.5  1.2194  1545
0.8533 2.5  1.3916   443
0.8776 2.5  1.0882   517
0.9021 2.5  1.1810  1593
0.9265 2.5  1.2793   820
0.9510 2.5  1.0342   314
0.9755 2.5  1.0957   521
1.0001 2.5  0.9909  1880
1.0247 2.5  1.1897  1038
1.0493 2.5  1.1230   558
1.0740 2.5  1.1880   888
1.0987 2.5  1.1396   854
1.1234 2.5  1.0794   389
1.1482 2.5  1.0632   824
1.1730 2.5  1.1146  1053
1.1978 2.5  1.2013   608
1.2227 2.5  0.9380  1232
1.2476 2.5  1.2862   988
1.2726 2.5  1.0971   561
1.2976 2.5  1.2848  1635
1.3226 2.5  1.1654  2147
1.3476 2.5  0.9803  1816
1.3727 2.5  1.1422  1901
1.3978 2.5  1.1356  2346
1.4230 2.5  1.0640   677
1.4482 2.5  1.0536   999
1.4734 2.5  1.2809   887
1.4910 5.0  1.1474    57
1.4987 2.5  1.0231   383
1.5240 2.5  1.2591   693
1.5490 2.5  1.2320  1169
1.5520 5.0  1.1143   159
1.5747 2.5  1.1628  1034
1.6001 2.5  1.3460   392
1.6150 5.0  1.1474    40
1.6750 5.0  1.1455   684
1.7350 5.0  1.1395   297
1.7950 5.0  1.1276   836
1.8530 5.0  1.0457   967
1.9130 5.0  1.0687   352
1.9700 5.0  1.1234    66
2.0280 5.0 -0.9999 -9999
2.0840 5.0  1.1848  1133
2.1400 5.0  1.1944   477
2.1960 5.0  1.1550   269
2.2520 5.0  1.2588   453
2.3060 5.0  1.2291   972
2.3610 5.0  1.2194  1371
2.4140 5.0  1.3159  1099
2.4660 5.0  1.2198  1348
2.5190 5.0 -0.9999 -9999
2.5700 5.0 -0.9999 -9999
